domain,total_incoming_sizes,total_number_packets,no_outgoing_packets,no_incoming_packets,ratio_incoming_to_outgoing,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
google.com,5221,40,20,20,1.0,105,-105,66,74,-74,66,288,-66,-798,66,-66,-66,78,66,-66,105,-105,66,74,-92,-92,96,96,-74,66,292,-66,-66,-66,-2866,66,-263,66,-66,66,-92,96,-66,66,-66
google.com,24019,82,41,41,1.0,74,-74,66,288,-66,-798,66,-66,66,-66,74,-74,66,292,-66,-3065,66,-66,66,122,225,-66,-101,66,-621,66,74,-74,66,583,-66,-4266,66,-407,66,130,236,329,-652,-97
google.com,5386,44,22,22,1.0,74,-74,66,288,-66,-798,66,-66,66,-66,74,-74,66,292,-66,105,-105,66,-3065,66,-66,66,105,-66,-105,66,-92,96,-66,-92,96,-66,-97,66,97,66,-66,66,-66,-92
google.com,4405,21,11,10,0.9090909090909091,74,-74,66,288,-66,-798,66,-66,66,-66,74,-74,66,292,-66,-3063,66,-66,66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google.com,5664,24,2,22,11.0,66,-74,-74,-66,-288,-66,-798,-66,-66,-66,-66,-74,-74,-66,-292,-66,-3066,-66,-66,-66,-66,-66,-66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google.com,4472,23,12,11,0.9166666666666666,74,-74,66,288,-66,-798,66,-66,66,-66,74,-74,66,292,-66,-3064,66,-66,66,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google.com,4406,21,11,10,0.9090909090909091,74,-74,66,288,-66,-798,66,-66,66,-66,74,-74,66,292,-66,-3064,66,-66,66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google.com,4605,27,14,13,0.9285714285714286,74,-74,66,288,-66,-798,66,-66,-66,78,66,-66,66,-66,74,-74,66,292,-66,-2866,66,-265,66,-66,66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0
google.com,4407,21,11,10,0.9090909090909091,74,-74,66,288,-66,-798,66,-66,66,-66,74,-74,66,292,-66,-3065,66,-66,66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google.com,30012,128,54,74,1.3703703703703705,74,-74,66,288,-66,-798,66,-66,66,-66,-97,66,101,-66,74,-74,66,292,-66,-3065,66,-66,66,-92,-92,96,96,-66,-66,122,225,281,-66,-114,66,-621,66,74,-598,66
duckduckgo.com,20222,54,24,30,1.25,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,72,-1218,-1218,78,-66,388,-66,-353,-353,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66,-1218,66
duckduckgo.com,19004,53,24,29,1.2083333333333333,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-66,-353,-353,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66,-1218,66,72
duckduckgo.com,19214,60,29,31,1.0689655172413792,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-66,-353,-353,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66,-1218,66,72
duckduckgo.com,19070,57,27,30,1.1111111111111112,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-66,-353,-353,66,-2312,-90,-66,66,66,66,-66,74,-74,66,463,-66,-2962,66
duckduckgo.com,19071,54,24,30,1.25,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,72,-1218,-66,140,-66,314,-353,-353,66,-66,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66,72
duckduckgo.com,22905,62,2,60,30.0,91,-95,66,-91,-95,-66,-74,-74,-66,-292,-66,-2072,-66,-228,-66,-66,-74,-74,-66,-458,-66,-2962,-66,-1218,-66,-72,-66,-388,-66,-353,-353,-2312,-90,-66,-66,-66,-91,-95,-66,-74
duckduckgo.com,19004,53,24,29,1.2083333333333333,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-66,-353,-353,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66,-1218,66,72
duckduckgo.com,19162,56,25,31,1.24,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-66,-353,-353,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66,-1218,66,72
duckduckgo.com,19005,54,25,29,1.16,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-353,-66,-353,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66,-1218,66,72
duckduckgo.com,19004,54,25,29,1.16,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-66,-353,-353,66,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66,-1218,66
duckduckgo.com,19280,60,28,32,1.1428571428571428,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-66,-353,-353,-2312,-90,-66,66,66,74,105,105,-105,-66,66,-105,-74,66,463
duckduckgo.com,19004,54,25,29,1.16,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-66,-353,-353,66,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66,-1218,66
duckduckgo.com,21603,61,28,33,1.1785714285714286,74,-74,66,292,-66,-2072,66,-228,66,-66,74,-74,66,458,-66,-2962,66,-1218,66,72,-1218,78,-66,388,-66,-353,-353,66,-2312,-90,-66,66,66,74,-74,66,463,-66,-2962,66
duckduckgo.com,19443,66,32,34,1.0625,74,-74,66,292,-66,-2072,66,-228,66,-66,105,-105,66,105,-66,-105,66,74,-74,66,458,-66,-2962,66,-1218,66,72,-66,388,-66,-353,-353,-2312,-90,-66,66,66,-97,66,97
duckduckgo.com,22640,59,2,57,28.5,91,-95,66,-74,-74,-66,-292,-66,-2072,-66,-228,-66,-66,-91,-95,-66,-74,-74,-66,-458,-66,-2962,-66,-1218,-66,-72,-66,-388,-66,-353,-353,-2312,-90,-66,-66,-66,-74,-74,-66,-463
